"SERIALNO","RT","DIVISION","PUMA","REGION","ST","ADJHSG","ADJINC","WGTP","NP","TYPE","ACCESS","ACR","AGS","BATH","BDSP","BLD","BROADBND","BUS","COMPOTHX","CONP","DIALUP","DSL","ELEP","FIBEROP","FS","FULP","GASP","HANDHELD","HFL","INSP","LAPTOP","MHP","MODEM","MRGI","MRGP","MRGT","MRGX","OTHSVCEX","REFR","RMSP","RNTM","RNTP","RWAT","RWATPR","SATELLITE","SINK","SMP","STOV","TEL","TEN","TOIL","VACS","VALP","VEH","WATP","YBL","FES","FFINCP","FGRNTP","FHINCP","FINCP","FPARC","FPLMPRP","FSMOCP","GRNTP","GRPIP","HHL","HHT","HINCP","HOTWAT","HUGCL","HUPAC","HUPAOC","HUPARC","KIT","LNGI","MULTG","MV","NOC","NPF","NPP","BTUEL"
59,"H",7,2001,3,48,1000000,1001264,52,1,1,1,1,0,1,2,2,1,2,1,0,2,2,100,1,2,2,3,1,3,800,1,0,1,0,0,0,3,2,1,5,0,0,1,9,2,1,0,1,1,2,1,0,124000,1,480,6,0,0,0,0,0,0,0,0,0,0,1,6,61500,9,0,4,4,4,1,1,1,5,0,0,0,41139.659
89,"H",7,5303,3,48,1000000,1001264,304,9,1,3,1,0,1,3,1,0,2,2,0,0,0,180,0,2,2,3,1,3,300,2,4700,0,0,0,0,3,0,1,6,0,0,1,9,0,1,0,1,1,2,1,0,20000,2,1500,8,7,1,0,1,44300,3,0,0,0,0,2,3,44300,9,0,3,3,3,1,1,1,4,4,9,0,53768.239
101,"H",7,2509,3,48,1000000,1001264,177,4,1,1,1,0,1,4,2,2,2,2,0,2,2,300,2,2,2,3,1,3,2000,1,0,1,1,1100,1,1,2,1,10,0,0,1,9,2,1,0,1,1,1,1,0,165000,2,1200,5,5,0,0,0,82000,2,0,1,0,0,1,2,82000,9,1,2,4,2,1,1,2,5,0,4,0,36775.388
159,"H",7,1000,3,48,1000000,1001264,57,2,1,1,3,1,1,3,2,2,2,2,0,2,1,210,2,2,2,10,2,3,1000,1,0,2,0,0,0,3,2,1,11,0,0,1,9,2,1,0,1,1,2,1,0,4e+05,2,480,6,4,0,0,0,45600,4,0,0,0,0,1,1,45600,9,0,4,4,4,1,1,1,2,0,2,0,72224.543
168,"H",7,2311,3,48,1000000,1001264,267,4,1,1,1,0,1,4,2,2,2,1,0,2,2,400,1,2,2,20,1,1,1200,1,0,2,1,4500,1,1,2,1,10,0,0,1,9,2,1,0,1,1,1,1,0,9e+05,2,1000,3,1,0,0,0,664000,1,0,0,0,0,1,1,664000,9,0,1,1,1,1,1,1,3,2,4,0,53614.246
214,"H",7,2513,3,48,1000000,1001264,96,2,1,1,1,0,1,3,2,2,2,1,0,2,2,200,2,2,2,3,1,3,0,1,0,1,0,0,0,0,2,1,6,2,1100,1,9,2,1,0,1,1,3,1,0,0,1,650,4,8,0,0,0,2500,4,0,0,1354,101,1,3,2500,9,0,4,4,4,1,1,1,2,0,2,0,35923.342
216,"H",7,800,3,48,1000000,1001264,99,2,1,1,1,0,1,3,2,2,2,2,0,2,2,140,2,2,2,120,2,1,1200,1,0,1,0,0,0,3,2,1,9,0,0,1,9,2,1,0,1,1,2,1,0,160000,2,1800,7,4,0,0,0,68000,4,0,0,0,0,1,1,68000,9,0,4,4,4,1,1,1,6,0,2,0,59097.081
247,"H",7,3502,3,48,1000000,1001264,85,4,1,1,2,1,1,3,1,1,2,2,0,2,2,130,2,1,2,3,1,3,1200,1,350,2,2,600,2,1,2,1,7,0,0,1,9,2,1,0,1,1,1,1,0,150000,2,1500,7,4,0,0,0,45400,4,0,0,0,0,1,1,45400,9,0,4,4,4,1,1,1,5,0,4,0,36957.178
284,"H",7,4701,3,48,1000000,1001264,74,2,1,1,1,0,1,4,2,1,2,2,0,2,2,250,2,2,2,40,1,1,1000,1,0,1,1,450,1,1,1,1,8,0,0,1,9,2,1,0,1,1,1,1,0,85000,2,800,1,0,0,0,0,0,0,0,1,0,0,1,5,72000,9,0,4,4,4,1,1,1,5,0,0,0,6549.234
321,"H",7,5916,3,48,1000000,1001264,97,2,1,1,1,0,1,2,2,2,2,2,0,2,1,120,2,2,2,20,1,1,900,1,0,2,2,390,1,1,2,1,4,0,0,1,9,2,1,0,1,1,1,1,0,179000,2,840,5,1,0,0,0,84300,4,0,1,0,0,1,1,84300,9,0,4,4,4,1,1,1,7,0,2,0,46878
388,"H",7,4612,3,48,1000000,1001264,89,4,1,1,1,0,1,3,2,1,2,2,0,2,1,2,2,2,2,20,1,3,170,1,0,1,0,0,0,3,2,1,5,0,0,1,9,2,1,0,1,1,2,1,0,350000,5,70,3,1,0,0,0,77000,2,0,0,0,0,2,1,77000,9,0,2,2,2,1,1,1,5,1,4,0,76528.699
421,"H",7,5303,3,48,1000000,1001264,59,3,1,3,1,0,1,2,2,0,2,2,0,0,0,290,0,1,1000,50,2,3,0,2,0,0,0,0,0,0,0,1,3,2,790,1,9,0,1,0,1,1,3,1,0,0,0,400,6,8,1,0,1,18200,4,0,0,1246,82,1,3,18200,9,0,4,4,4,1,1,1,1,0,3,0,13150
438,"H",7,4612,3,48,1000000,1001264,35,2,1,1,1,0,1,3,2,1,2,2,0,2,2,60,2,2,2,40,1,1,1700,1,0,1,2,2300,1,1,2,1,6,0,0,1,9,2,1,0,1,1,1,1,0,6e+05,2,50,18,1,1,0,1,127000,4,0,1,0,0,1,1,127000,9,0,4,4,4,1,1,1,1,0,2,0,22546.496
468,"H",7,1907,3,48,1000000,1001264,97,3,1,1,1,0,1,3,2,1,2,2,0,2,2,130,1,2,2,3,1,3,820,1,0,2,1,1100,1,1,2,1,5,0,0,1,9,2,1,0,1,1,1,1,0,175000,2,1000,10,1,0,0,0,102000,1,0,0,0,0,1,1,102000,9,0,1,1,1,1,1,1,4,1,3,0,51805.277
475,"H",7,2002,3,48,1000000,1001264,227,2,1,1,1,0,1,3,2,2,2,2,0,2,2,100,1,2,2,30,1,1,1500,1,0,2,1,1800,1,1,2,1,8,0,0,1,9,2,1,0,1,1,1,1,0,210000,2,600,7,2,1,0,1,42000,4,0,1,0,0,3,1,42000,9,0,4,4,4,1,1,1,2,0,2,0,66513.515
527,"H",7,1902,3,48,1000000,1001264,264,3,1,1,1,0,1,4,2,2,2,1,0,2,2,640,2,2,2,50,1,3,4000,1,0,1,1,4500,1,1,2,1,9,0,0,1,9,2,1,0,1,1,1,1,0,450000,2,1200,8,1,0,0,0,491000,4,0,0,0,0,1,1,491000,9,0,4,4,4,1,1,1,5,0,3,0,54639.257
538,"H",7,4601,3,48,1000000,1001264,32,1,1,1,2,1,1,3,2,2,2,2,0,2,2,130,2,2,2,3,1,3,1300,1,0,1,1,910,1,1,2,1,6,0,0,1,9,2,1,0,1,1,1,1,0,120000,1,30,13,0,0,0,0,0,0,0,0,0,0,1,6,4500,9,0,4,4,4,1,1,1,4,0,0,0,77057.53
581,"H",7,5400,3,48,1000000,1001264,25,3,1,1,2,1,1,3,2,2,2,2,0,2,2,150,2,2,2,3,1,3,1000,1,0,1,2,780,2,1,2,1,5,0,0,1,9,2,1,0,1,1,1,1,0,210000,3,70,7,1,1,0,1,149450,2,0,0,0,0,1,1,149450,9,0,2,2,2,1,1,1,5,1,3,0,49429.857
598,"H",7,5909,3,48,1000000,1001264,58,1,1,3,1,0,1,2,2,0,2,2,0,0,0,170,0,2,2,10,2,1,1000,2,0,0,0,0,0,3,0,1,6,0,0,1,9,0,1,0,1,1,2,1,0,95000,1,400,7,0,0,0,1,0,0,0,0,0,0,2,6,34700,9,0,4,4,4,1,1,1,5,0,0,0,45113.057
637,"H",7,4624,3,48,1000000,1001264,108,2,1,1,1,0,1,4,2,2,2,2,0,2,2,150,2,2,2,20,2,1,3000,1,0,1,2,1000,2,1,2,1,7,0,0,1,9,2,1,0,1,1,1,1,0,3e+05,2,40,7,2,0,0,0,80000,4,0,0,0,0,1,1,80000,9,0,4,4,4,1,1,1,5,0,2,0,56244
650,"H",7,2301,3,48,1000000,1001264,138,2,1,3,0,0,1,3,7,0,0,2,0,0,0,140,0,2,2,3,2,3,0,2,0,0,0,0,0,0,0,1,4,2,850,1,9,0,1,0,1,1,3,1,0,0,1,840,5,1,0,0,0,46000,4,0,0,1060,28,2,1,46000,9,0,4,4,4,1,2,1,3,0,2,0,15139
695,"H",7,1800,3,48,1000000,1001264,49,2,1,1,2,1,1,3,2,2,2,2,0,2,1,220,2,2,700,3,1,3,1900,1,0,2,0,0,0,3,2,1,7,0,0,1,9,2,1,0,1,1,2,1,0,225000,2,820,6,4,0,0,0,43800,4,0,0,0,0,1,1,43800,9,0,4,4,4,1,1,1,7,0,2,0,151464.344
698,"H",7,2516,3,48,1000000,1001264,367,4,1,1,1,0,1,4,2,1,2,1,0,2,1,100,1,2,2,40,1,1,0,1,0,1,0,0,0,0,2,1,10,2,800,1,9,1,1,0,1,1,3,1,0,0,2,900,4,7,1,0,1,44500,2,0,0,1015,27,1,3,44500,9,0,2,2,2,1,1,1,3,3,4,0,94186.694
759,"H",7,2502,3,48,1000000,1001264,55,1,1,1,0,0,1,2,9,1,0,2,0,2,1,50,2,2,2,3,1,3,0,1,0,1,0,0,0,0,2,1,4,2,950,1,9,2,1,0,1,1,3,1,0,0,1,30,7,0,0,0,0,0,0,0,0,1003,20,1,4,60010,9,0,4,4,4,1,1,1,4,0,0,0,44637.39
807,"H",7,2321,3,48,1000000,1001264,59,2,1,1,1,0,1,4,2,2,2,2,0,2,2,60,1,2,2,30,1,1,1400,1,0,2,1,890,1,1,2,1,8,0,0,1,9,2,1,0,1,1,1,1,0,165000,2,1600,4,1,0,0,0,112000,4,0,0,0,0,1,1,112000,9,0,4,4,4,1,1,1,5,0,2,0,56883.193
830,"H",7,1700,3,48,1000000,1001264,17,1,1,3,0,0,1,1,8,0,0,2,0,0,0,80,0,1,2,1,2,1,0,2,0,0,0,0,0,0,0,1,4,1,120,1,9,0,1,0,1,1,3,1,0,0,0,1,4,0,0,0,1,0,0,0,0,200,5,1,4,51200,9,0,4,4,4,1,1,1,1,0,0,0,44558
857,"H",7,100,3,48,1000000,1001264,18,1,1,3,1,0,1,3,2,0,2,2,0,0,0,110,0,2,2,110,2,1,800,2,0,0,0,0,0,3,0,1,6,0,0,1,9,0,1,0,1,1,2,1,0,40000,1,620,4,0,0,0,0,0,0,0,0,0,0,1,6,28340,9,0,4,4,4,1,1,1,4,0,0,0,33668.256
867,"H",7,5203,3,48,1000000,1001264,83,2,1,1,1,0,1,4,2,1,2,2,0,2,2,150,2,2,2,20,1,1,1600,1,0,1,0,0,0,3,2,1,9,0,0,1,9,2,1,0,1,1,2,1,0,3e+05,2,1200,7,2,1,0,1,169271,4,0,0,0,0,1,1,169271,9,0,4,4,4,1,1,1,5,0,2,0,105096.098
884,"H",7,1905,3,48,1000000,1001264,57,1,1,1,0,0,1,1,9,1,0,2,0,2,2,60,2,2,2,3,1,3,0,1,0,2,0,0,0,0,2,1,3,2,1000,1,9,2,1,0,1,1,3,1,0,0,1,150,7,0,0,0,0,0,0,0,0,1073,34,1,6,38000,9,0,4,4,4,1,1,1,1,0,0,0,75820.741
937,"H",7,3900,3,48,1000000,1001264,28,1,1,3,0,0,1,0,4,0,0,2,0,0,0,100,0,2,2,20,2,1,0,2,0,0,0,0,0,0,0,1,1,2,270,1,9,0,1,0,1,1,3,1,0,0,0,2,5,0,0,0,0,0,0,0,0,390,35,1,6,13500,9,0,4,4,4,1,1,1,3,0,0,0,69467.556
942,"H",7,2318,3,48,1000000,1001264,109,1,1,1,1,0,1,3,3,1,2,2,0,2,2,290,2,1,2,70,1,1,0,1,0,2,0,0,0,3,2,1,5,0,0,1,9,2,1,0,1,1,2,1,0,2e+05,2,750,11,0,0,0,0,0,0,0,0,0,0,1,6,101900,9,0,4,4,4,1,1,1,3,0,0,0,40034
953,"H",7,2004,3,48,1000000,1001264,63,3,1,1,1,0,1,5,2,1,2,2,0,2,1,280,2,2,2,100,1,1,2200,1,0,2,1,2400,1,1,2,1,11,0,0,1,9,2,1,300,1,1,1,1,0,5e+05,1,1200,9,5,0,0,0,130000,2,0,0,0,0,1,2,130000,9,0,2,2,2,1,1,1,4,2,3,0,35372.012
958,"H",7,6100,3,48,1000000,1001264,112,5,1,1,2,1,1,4,2,1,2,2,0,2,2,200,2,2,2,3,1,3,1300,1,0,2,1,500,1,1,2,1,6,0,0,1,9,1,1,0,1,1,1,1,0,290000,4,740,7,1,1,0,1,104800,2,0,1,0,0,2,1,104800,9,0,2,2,2,1,1,1,5,2,5,0,57862.226
968,"H",7,5800,3,48,1000000,1001264,124,1,1,1,0,0,1,1,7,2,0,2,0,2,2,60,2,2,2,3,1,3,0,1,0,1,0,0,0,0,2,1,3,2,760,1,9,2,1,0,1,1,3,1,0,0,1,280,17,0,0,0,0,0,0,0,0,843,45,1,4,22500,9,0,4,4,4,1,1,1,3,0,0,0,56406.862
979,"H",7,1903,3,48,1000000,1001264,43,2,1,1,1,0,1,3,2,1,2,2,0,2,2,130,2,2,2,60,1,1,0,1,0,1,0,0,0,0,2,1,6,2,1100,1,9,2,1,0,1,1,3,1,0,0,2,120,6,0,0,0,0,0,0,0,0,1300,27,1,5,57400,9,0,4,4,4,1,1,1,2,0,0,0,62466.457
1090,"H",7,4616,3,48,1000000,1001264,367,2,1,2,0,0,1,2,7,0,0,2,0,0,0,110,0,2,2,3,2,3,0,2,0,0,0,0,0,0,0,1,4,2,680,1,9,0,1,0,1,1,3,1,0,0,1,1,6,0,0,0,1,0,0,0,0,790,27,1,7,35000,9,0,4,4,4,1,1,1,1,0,0,0,60128.693
1097,"H",7,3400,3,48,1000000,1001264,137,1,1,1,0,0,1,1,5,1,0,2,0,2,2,140,2,2,2,30,2,3,0,1,0,1,0,0,0,0,2,1,4,2,260,1,9,2,1,0,1,1,3,1,0,0,0,2,5,0,0,0,0,0,0,0,0,430,33,1,4,15700,9,0,4,4,4,1,1,1,5,0,0,0,51811.621
